userID,assessmentItemID,testId,answerCode,Timestamp,KnowledgeTag
0,A050023001,A050000023,1,2020-01-09 10:56:31,2626
0,A050023002,A050000023,1,2020-01-09 10:56:57,2626
0,A050023003,A050000023,0,2020-01-09 10:58:31,2625
0,A050023004,A050000023,0,2020-01-09 10:58:36,2625
0,A050023006,A050000023,0,2020-01-09 10:58:43,2623
0,A050023007,A050000023,0,2020-01-09 10:58:46,2623
1,A010060001,A010000060,0,2021-06-10 13:54:55,7597
1,A050094005,A050000094,1,2021-06-10 13:54:55,397
1,A050155004,A050000155,0,2021-06-10 13:54:55,451
1,A060017006,A060000017,1,2021-06-10 13:54:55,587
1,A080031001,A080000031,0,2021-06-10 13:54:55,4803
